"","Text","Score","Positive","Negative"
"1058","PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome",3,3,0
"1059","The left will never accept PresidentTrump no matter how hard he tries Hillary lost and theyre deva ziGqxJioc",-3,0,3
"1060","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1061","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump",2,2,0
"1062","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1063","I Made My PromiseKeep My Promise
PresidentTrumpFeds to BEAT IT Returns by Taylor cJTjfjUoN",0,0,0
"1064","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump",2,2,0
"1065","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump",2,2,0
"1066","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1067","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1068","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1069","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1070","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1071","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1072","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1073","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1074","Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove",-1,0,1
"1075","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1076","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1077","I Made My PromiseKeep My Promise
PresidentTrumpFeds to BEAT IT Returns Education to the STATES Aboli",0,0,0
"1078","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1079","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1080","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1081","The Ceremony PresidentTrump FirstDays xICeIrcuD",0,0,0
"1082","AMERICASTRONGPresidentTrump making America STRONGER than ever We support POTUSMAGA TrumpStrong USAF",2,2,0
"1083","Fortunately PresidentTrump is already removing the Regulation barriers from business sooVApnp",1,1,0
"1084","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1085","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1086","THE TRUMPINATOR
PresidentTrump
Lets MAGAPPQRWraMn",0,0,0
"1087","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1088","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1089","MAGA PresidentTrump NeverthelessShePersisted
What Congressional Democrats have done THEIR FirstDays ofoCOcxx",0,0,0
"1090","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1091","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1092","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1093","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1094","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1095","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump",2,2,0
"1096","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1097","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1098","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1099","EightYear Assault on Gun Rights Is Over according to Trump iPaeqxRuc NRAAM PresidentTrump gunrights",0,1,1
"1100","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1101","MTPresidentTrump Speaks From USS Gerald Ford Hats off to our wonderful militaryvets quFcx",1,1,0
"1102","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1103","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1104","Gee I just love this man Hes working overtime to MAGAyoure truly our wonderful PresidentTrump",2,2,0
"1105","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1106","LawandOrder is back in the USA PresidentTrump AGSessions Tuipcr",0,0,0
"1107","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1108","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1109","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1110","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1111","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1112","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1113","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1114","PresidentTrump absolutely looking at breakingup thCircuitJUST DO ITThank you AmericaFirst MAGA",0,0,0
"1115","Im disappointed w PresidentTrumps actions sick of pandering to israel and what does he do BuildTheWall arou bolRGxz",-3,0,3
"1116","WHCD the nerdprom was all about the fakenewsmediapresidentTrump went to his own party where he was the Star Stayfocused president",0,0,0
"1117","PJVzFrSlJ The FirstDays marker is an old gimmick But with it PresidentTrump is doing better than expected tcot MAGA",0,1,1
"1118","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1119","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1120","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"1121","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1122","California College Republicans hold annual conference in SanJose on PresidentTrumps th day in office ZbPRXVLAW Trump",1,1,0
"1123","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1124","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1125","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention",0,0,0
"1126","Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove",-1,0,1
"1127","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1128","PresidentTrump has ordered an airstrike against the WhiteHouseCorrespondentsDinnerWordsHurt TruthHurts",0,0,0
"1129","Trump trolls White House Correspondents Dinnervideo LdGRxq",1,1,0
"1130","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1131","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1132","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1133","climatemarch In Bostonaround the US people marching for climatechange awareness on PresidentTrumps th Day in",0,0,0
"1134","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1135","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1136","Im sorry did Hillary win I would love to have Pocahontas run init will guaranteeyears of Trump EXOYeitao",2,3,1
"1137","Loved the poem about the snake Only PresidentTrump can entertainwith a poem harrisburgrally TrumpRally Harrisburg POTUS MAGA",1,1,0
"1138","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays TrumpkdmUgHaNS",1,1,0
"1139","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1140","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1141","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1142","Give it Up Bobo PresidentTrump",0,0,0
"1143","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1144","AmenIt sure did Karma is a BITCH isnt it BarryPresidentTrump",-1,0,1
"1145","Some HillaryClinton fans saying PresidentTrump used KKK language Just meaningless talking point Hillary never recognized any key issue",-1,1,2
"1146","PresidentTrump chose his people his base over the media celebsfake politicians We love youdeeply apprecia bMXVFTOPn",1,1,0
"1147","Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump AmericanPride TrumpEf",1,1,0
"1148","We love PresidentTrumpSoWqmlGp",1,1,0
"1149","We love PresidentTrumpSoWqmlGp",1,1,0
"1150","PresidentTrump chose his people his base over the media celebsfake politicians We love youdeeply MiURzYEiU",1,1,0
"1151","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1152","USA is now under new management PresidentTrumpteam MAGA ulJEHouQmg",0,0,0
"1153","Energy EconomicFreedom
PresidentTrumps FirstDays In OilandGas Elections Really Do Matter
jxeAdMlcttcot PJNET",0,0,0
"1154","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1155","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1156","Crowd throw Russian flags in the air at Trumps globalist rally PresidentTrump KEGUkjMrtl",0,0,0
"1157","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1158","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1159","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1160","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1161","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1162","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1163","Check your American privilege MAGA BoycottOscar FirstDays ProgressiveHaters PresidentTrump ryUPdMH",1,1,0
"1164","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1165","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1166","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1167","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1168","EnergyOffshoreEnergy Shale
PresidentTrump Opens Door to More Offshore Oil But Shale Still King
L",0,0,0
"1169","Make America Great AgainGodBlessAmericaMAGAPresidentTrump FSDzDh",1,1,0
"1170","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1171","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1172","EnergyOffshoreEnergy Shale
PresidentTrump Opens Door to More Offshore Oil But Shale Still King
L",0,0,0
"1173","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1174","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1175","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1176","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1177","Right Wing Daily Sen Elizabeth Warren DMA said she dvIrlXakF",1,1,0
"1178","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1179","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1180","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1181","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1182","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1183","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1184","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention",0,0,0
"1185","Clean your glasses oh jealous one Again PresidentTrump gave a shout out to the FakeNewsWlwdUW",0,1,1
"1186","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1187","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1188","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1189","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1190","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1191","White supremacist must be the new name for folks of all colors ages genders and heritage That was the harrisburgrally PresidentTrump",0,0,0
"1192","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1193","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1194","PresidentTrump has ordered an airstrike against the WhiteHouseCorrespondentsDinnerWordsHurt TruthHurts",0,0,0
"1195","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1196","EightYear Assault on Gun Rights Is Over according to Trump iPaeqxRuc NRAAM PresidentTrump gunrights",0,1,1
"1197","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1198","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1199","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1200","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1201","Congrats PresidentTrump on your firstdays Maybe thats enough right",2,2,0
"1202","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1203","Of course not NarrativeDrivenMedia who missed PresidentTrumps celebrating FirstDays but he did give a Sho mQqyXQfDp",-2,0,2
"1204","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1205","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1206","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1207","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"1208","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1209","WATCH LIVE Trumps day rally in PA TrumpRally MAGA AmericaFirst TrumpTrain PresidentTrump POTUS TeSTDxKmsA",0,0,0
"1210","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1211","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1212","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1213","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1214","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1215","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1216","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1217","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1218","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1219","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1220","PresidentTrump may have denigrated HRCs actions CROOKED but NEVER called h pWQcQEi",-1,0,1
"1221","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"1222","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1223","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1224","EnergyOffshoreEnergy Shale
PresidentTrump Opens Door to More Offshore Oil But Shale Still King
LiuOBsJ
tcot PJNET",0,0,0
"1225","For Days I have been so thankful Crooked Hillary is not the Presidentlost big league iqZZJfGV",-1,1,2
"1226","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1227","There are both sides to the debate however I feel that PresidentTrump did not know what he was getting himself an RnixHk",-1,0,1
"1228","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1229","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1230","Make America Great AgainGodBlessAmericaMAGAPresidentTrump FSDzDh",1,1,0
"1231","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1232","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1233","The Ceremony PresidentTrump FirstDays xICeIrcuD",0,0,0
"1234","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1235","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1236","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"1237","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1238","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1239","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1240","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1241","I think this speaks for itself phenomenal firstdays PresidentTrump AQDXWRF",1,1,0
"1242","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1243","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1244","PresidentTrump should have more rallies Hell yeah",-1,0,1
"1245","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1246","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1247","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1248","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1249","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1250","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention",0,0,0
"1251","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1252","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1253","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1254","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1255","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1256","fakenews media aka fakenewscnndiscounts PresidentTrump all the time yet he packs the house TrumpRally YheUkOVS",0,0,0
"1257","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen",1,1,0
"1258","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1259","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1260","PresidentTrump will always put America FirstGlobalism NO longer a priorityIStandWithTrumpqhxoYjZw",-1,0,1
"1261","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1262","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1263","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1264","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1265","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1266","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1267","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1268","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1269","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1270","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1271","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1272","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen",1,1,0
"1273","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1274","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1275","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1276","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1277","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1278","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1279","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1280","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1281","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1282","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"1283","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1284","My Dinner with DonaldTrump
byGYIFUaCJg",0,0,0
"1285","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1286","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1287","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1288","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1289","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1290","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1291","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"1292","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1293","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1294","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"1295","PresidentTrump will always put America FirstGlobalism NO longer a priorityIStandWithTrumpqhxoYjZwX",-1,0,1
"1296","FakeNews Presstitutes MSMLies about PresidentTrump fELBWTTp",0,0,0
"1297","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1298","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1299","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1300","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1301","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1302","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"1303","PresidentTrump His written words Opinion WashingtonPost JhUEDEzyYFirstDays TrumpKeepsPromise Tr",0,0,0
"1304","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1305","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1306","We love PresidentTrumpSoWqmlGp",1,1,0
"1307","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen",1,1,0
"1308","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1309","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention",0,0,0
"1310","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"1311","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1312","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"1313","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"1314","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1315","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"1316","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
