"","Text","Score","Positive","Negative"
"58","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"59","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"60","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"61","The left ever since PresidentTrump won in one videosundaymotivation MAGA kdHHjS",1,1,0
"62","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHug",0,0,0
"63","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"64","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"65","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"66","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"67","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"68","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS",1,1,0
"69","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"70","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"71","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"72","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"73","With so many Liberalsidiots that are against PresidentTrump in Canada I will stand alone and behind him if need be",0,0,0
"74","Looking forward to you building wall PresidentTrumpeIrfME",0,0,0
"75","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS",1,1,0
"76","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"77","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"78","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the",-1,0,1
"79","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"80","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"81","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"82","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"83","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"84","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"85","PresidentTrump has had a great firstand in other news HillaryClinton is somehow still not in prison",-1,1,2
"86","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"87","Another greatclipshowing INCREDIBLE line for PresidentTrump TrumpRallyMSM LIESMAGA POTUS PbRFVQ",1,1,0
"88","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"89","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the",-1,0,1
"90","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"91","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"92","Glorious The libtards on bbcqt basically coming out to say that PresidentTrump is worse than the NorthKorean dictator Insan",-1,1,2
"93","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay",1,1,0
"94","PresidentTrump Declares The END Of The Obama AssualtOn The ndAmendmentA NRAAMNRAconvention",0,0,0
"95","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"96","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"97","USA is now under new management PresidentTrumpteam MAGA stSryamv",0,0,0
"98","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"99","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"100","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"101","Be Proud to be an American Be Proud to Stand Tall during Our NationalAnthemBe Proud that PresidentTrump wants to",3,3,0
"102","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHug",0,0,0
"103","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"104","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"105","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"106","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"107","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"108","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"109","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"110","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"111","Followfollow
MakingAmericaGreatAgain TrumpTrainNationalist Patriot NotPCAmericaFirst PresidentTrump
Republic",1,1,0
"112","Love this little girl in the audience behind PresidentTrump at the TrumpRallytrumpdays iMJuYZkODy",1,1,0
"113","Thank You Lord For King AbdullahpresidentTrump
StrongerTogetherMakingAmericaGreatAgain TrumpTrainAmericaFir",1,1,0
"114","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"115","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"116","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"117","PRESIDENTTRUMP beat up on poor little ChuckSchumer Shame he should try and make nice and work togetherSCHUMER WILL NEVER COOPERATE",0,2,2
"118","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"119","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"120","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
"121","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"122","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"123","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"124","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"125","PresidentTrumpMikePence
VP Pence America Is BackQdIZXBTWTrumpRally MAGA tcot PJNET",0,0,0
"126","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"127","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the",-1,0,1
"128","PresidentTrump
Intellectual FroglegsDay Edition fun
KmSOzcQfuMAGA tcot PJNET",0,0,0
"129","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs",0,0,0
"130","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"131","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"132","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHugVGam
tcot PJNET",0,0,0
"133","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump",1,1,0
