"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4781","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:35:14,FALSE,NA,"858177835583799296",NA,"<a href=""http://frogolandia.50megs.com/index.html"" rel=""nofollow"">springiwbl5</a>","springIWbl5",526,TRUE,FALSE,NA,NA
"4782","#PresidentTrump - #SonnyPerdue
#USDA To Rollback Michelle Obama Meal Standards…
https://t.co/zs6TZV0a6H
| #tcot #PJNET",FALSE,0,"OverTheMoonbat",2017-04-29 04:34:40,FALSE,"858177073734496256","858177691060535297","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4783","RT @charmama70: @realDonaldTrump GOD BLESS you #PresidentTrump your doing great thank you   #MAGA",FALSE,0,NA,2017-04-29 04:34:23,FALSE,NA,"858177619136741376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FTM2160",1,TRUE,FALSE,NA,NA
"4784","RT @jojoh888: The left ever since #PresidentTrump won in one video <U+2935><U+FE0F> #sundaymotivation #MAGA https://t.co/kdH9H6j7S1",FALSE,0,NA,2017-04-29 04:32:13,FALSE,NA,"858177075852738560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuddSKwilliams",1332,TRUE,FALSE,NA,NA
"4785","#PresidentTrump - #Energy
Palin: Trump #MAGA's by Lifting Obama’s ‘Anti-American’ Offshore Drilling Ban… https://t.co/sM83jSn3u9",FALSE,0,"OverTheMoonbat",2017-04-29 04:32:13,TRUE,"858176537799008256","858177073734496256","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4786","#PresidentTrump: 'We'll Build the Wall,' 'That's an Easy One' - Breitbart https://t.co/STfMmMLuRB",FALSE,1,NA,2017-04-29 04:31:39,FALSE,NA,"858176933644783617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","merriemarie",0,FALSE,FALSE,NA,NA
"4787","Man who raped stranger hours before his wedding given life term https://t.co/OiPcPEsNqY #Trump #AntiGlobalism… https://t.co/XZttmuAEup",FALSE,0,NA,2017-04-29 04:30:40,TRUE,NA,"858176683693588481",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Andrea_4_Trump",0,FALSE,FALSE,NA,NA
"4788","#PresidentTrump
#NSA to Stop Warrantless Surveillance of American Messages
https://t.co/QMzrG3AyvG
| #tcot #PJNET",FALSE,0,"OverTheMoonbat",2017-04-29 04:30:05,FALSE,"858175709830828032","858176537799008256","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4789","The #Fakenewsmedia is the reason #Wethepeople will be with #PresidentTrump foreverThanks #stupidity you are helping #Democrats to lose #2018",FALSE,0,NA,2017-04-29 04:29:50,FALSE,NA,"858176474611945472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FearlessFaith53",0,FALSE,FALSE,NA,NA
"4790","RT @Auburngirlx: 2018 People, All these Dems are up for re election! Pick your targets to take them out &amp; give #PresidentTrump a Supermajor…",FALSE,0,NA,2017-04-29 04:29:37,FALSE,NA,"858176421977407488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nybobby58",455,TRUE,FALSE,NA,NA
"4791","##PresidentTrump’s #TaxReform that working Americans love, but #Liberals hate… https://t.co/GpU96gJZGf",FALSE,9,NA,2017-04-29 04:29:33,FALSE,NA,"858176402763415552",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AK_TWEET",9,FALSE,FALSE,NA,NA
"4792","RT @QuinnBx: Who's the most influential Political Commentator on @FoxNews #MAGA #PresidentTrump #LDT @RealJamesWoods",FALSE,0,NA,2017-04-29 04:29:30,FALSE,NA,"858176392382599168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayers2deb",190,TRUE,FALSE,NA,NA
"4793","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:28:42,FALSE,NA,"858176188140924929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARoyley",526,TRUE,FALSE,NA,NA
"4794","RT @DrMartyFox: #SpecialElection #MAGA 
This Tuesday #SC05 

Elect The #Candidate Supporting #PresidentTrump 

<U+25B6><U+FE0F> @TomMullikinSC 
https://t…",FALSE,0,NA,2017-04-29 04:27:41,FALSE,NA,"858175935933276160",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CoachRVinson",223,TRUE,FALSE,NA,NA
"4795","#PresidentTrump
Winning (w/o Libs knowing): Trump 'Travel Ban' Sees 40% Drop In Visas
https://t.co/2W65qOkHmK
| @TruthRevoltOrg #tcot #PJNET",FALSE,0,"OverTheMoonbat",2017-04-29 04:26:48,FALSE,"858175224398831617","858175709830828032","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4796","@realDonaldTrump shall immediately assume the powers and duties of the office as Acting #PresidentTrump",FALSE,0,"realDonaldTrump",2017-04-29 04:26:42,FALSE,NA,"858175685185204224","25073877","<a href=""http://www.floodgap.com/software/ttytter/"" rel=""nofollow"">TTYtter</a>","constitutionB0t",0,FALSE,FALSE,NA,NA
"4797","#PresidentTrump wise to skip #WHCD self-congratulatory narcissist cesspool-bad idea to stroke #fakenews inflated egos- illusions of grandeur",FALSE,1,NA,2017-04-29 04:26:22,FALSE,NA,"858175604197175296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DeaRiley",0,FALSE,FALSE,NA,NA
"4798","RT @KingBach: When you find out your friend voted Trump... #NotMyPresident #PresidentTrump https://t.co/OWO2tLw4qp",FALSE,0,NA,2017-04-29 04:25:49,FALSE,NA,"858175465605001216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meglit0607",14010,TRUE,FALSE,NA,NA
"4799","#PresidentTrump - #ForeignPolicy
Trump, #Russia Optimistic About Improving Relations After First 100 Days
https://t.co/QKWKkpH7nr
| #tcot",FALSE,0,"OverTheMoonbat",2017-04-29 04:24:52,FALSE,"858174982882340864","858175224398831617","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4800","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:24:13,FALSE,NA,"858175062985383937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wiretappedLisa",526,TRUE,FALSE,NA,NA
"4801","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:24:00,FALSE,NA,"858175008039878656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elconejotoo",526,TRUE,FALSE,NA,NA
"4802","#PresidentTrump - #Military
Trump Promises W.H. Will No Longer Obscure #Iraq and #Syria Troop Deployments
https://t.co/V0czyEytFV
| #tcot",FALSE,0,"OverTheMoonbat",2017-04-29 04:23:54,FALSE,"858174476868923392","858174982882340864","441251850","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OverTheMoonbat",0,FALSE,FALSE,NA,NA
"4803","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:23:29,FALSE,NA,"858174877362270208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KY_Heart1959",526,TRUE,FALSE,NA,NA
"4804","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:22:37,FALSE,NA,"858174661053624322",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smillr",526,TRUE,FALSE,NA,NA
"4805","RT @ANOMALY1: <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>#PresidentTrump @POTUS at #NRAconvention<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>""8-year assault' on gun rights is over""#Trump<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>#AmericaIsBack<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>#2A<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>…",FALSE,0,NA,2017-04-29 04:22:23,FALSE,NA,"858174600865226753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","S33963297",526,TRUE,FALSE,NA,NA
